sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;industria;fabrica de;barrio caicedo;2;9;31/10/2017;7377000.0;microempresarial
femenino;comercio;tienda;la milagrosa;3;9;02/11/2018;6000000.0;microempresarial
femenino;industria;fabrica de;las palmas;3;90;07/11/2017;3000000.0;microempresarial
masculino;comercio;miscelanea;cabecera san cristobal;3;60;26/02/2018;1000000.0;microempresarial
femenino;comercio;comidas rapidas;popular;1;1;24/09/2018;6000000.0;microempresarial
masculino;servicio;venta de lacteos;manrique central no1;3;4;01/06/2018;19530000.0;empresarial ed.
masculino;comercio;tienda;cabecera san cristobal;1;60;28/02/2018;4500000.0;microempresarial
femenino;comercio;papeleria;santa cruz;2;2;09/11/2017;7000000.0;microempresarial
femenino;comercio;variedades;manrique central no1;1;4;06/02/2018;7800000.0;microempresarial
masculino;comercio;peluqueria;la floresta;3;12;05/08/2016;6890000.0;microempresarial
femenino;comercio;comidas rapidas;aranjuez;3;4;22/02/2018;3000000.0;microempresarial
masculino;comercio;comidas rapidas;robledo;2;7;22/02/2018;6500000.0;microempresarial
masculino;servicio;fabrica de;manrique central no2;2;3;19/02/2016;2000000.0;microempresarial
femenino;comercio;tienda;kennedy;2;6;12/04/2018;7800000.0;microempresarial
femenino;servicio;peluqueria;villatina;2;8;24/01/2018;6000000.0;microempresarial
femenino;industria;fabrica de;popular;2;1;23/05/2017;7377000.0;microempresarial
masculino;comercio;variedades;robledo;2;7;04/09/2017;7300000.0;microempresarial
masculino;comercio;almacen de ropa en;santa cruz;2;2;22/02/2019;8000000.0;microempresarial
masculino;servicio;variedades;robledo;2;7;21/06/2017;7377000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;2;4;05/07/2018;5000000.0;microempresarial
masculino;comercio;reciclaje;centro admtivo;1;10;18/12/2018;4000000.0;microempresarial
masculino;industria;fabrica de;el salvador;2;9;28/03/2017;7370000.0;microempresarial
femenino;industria;fabrica de;robledo;2;7;30/05/2019;7000000.0;microempresarial
femenino;comercio;distribuidora de;buenos aires;3;9;13/08/2018;7800000.0;microempresarial
masculino;comercio;miscelanea;playon de los ;2;2;11/07/2018;7800000.0;microempresarial
femenino;servicio;cerrajeria;villa hermosa;3;8;21/09/2017;7300000.0;microempresarial
femenino;comercio;venta de lacteos;barrio caicedo;2;9;07/09/2017;7370000.0;microempresarial
masculino;industria;fabrica de productos;enciso;3;8;20/04/2018;7800000.0;microempresarial
femenino;industria;fabrica de;cabecera san cristobal;2;60;03/08/2018;3000000.0;microempresarial
masculino;comercio;variedades;aranjuez;2;4;13/12/2017;5000000.0;microempresarial
femenino;servicio;peluqueria;enciso;2;8;29/04/2019;8000000.0;microempresarial
femenino;comercio;almacen de ropa en;guayabal;3;15;09/05/2019;8281000.0;microempresarial
femenino;servicio;papeleria;robledo;2;7;21/07/2016;5000000.0;microempresarial
femenino;servicio;peluqueria;santa cruz;2;2;14/06/2019;7000000.0;microempresarial
masculino;comercio;papeleria;belen;3;16;14/06/2018;7000000.0;microempresarial
masculino;servicio;comidas rapidas;guayabal;2;15;23/02/2016;6800000.0;microempresarial
femenino;comercio;peluqueria;pedregal;3;6;12/09/2017;7300000.0;microempresarial
femenino;comercio;fabrica de calzado;cabecera san antonio ;3;80;20/11/2017;4422000.0;microempresarial
masculino;comercio;tienda;trinidad;3;15;14/10/2016;6800000.0;microempresarial
masculino;industria;fotografia;popular;2;1;31/10/2018;6000000.0;microempresarial
femenino;industria;fabrica de;belen;2;16;07/04/2017;7370000.0;microempresarial
femenino;comercio;tienda;enciso;1;8;17/11/2017;5000000.0;microempresarial
masculino;comercio;tienda;robledo;1;7;03/02/2017;7000000.0;microempresarial
masculino;comercio;variedades;enciso;1;8;04/04/2018;7000000.0;microempresarial
femenino;comercio;tienda;doce de octubre no1;2;6;20/11/2018;5000000.0;microempresarial
femenino;comercio;fabrica de;alfonso lopez;2;5;08/02/2018;6000000.0;microempresarial
femenino;comercio;miscelanea;calasanz parte alta;1;12;01/11/2016;6890000.0;microempresarial
femenino;servicio;papeleria;santa cruz;2;2;26/04/2017;7377000.0;microempresarial
femenino;comercio;tienda;manrique central no1;3;4;28/02/2019;4500000.0;microempresarial
femenino;comercio;peluqueria;eduardo santos;2;13;26/10/2018;3000000.0;microempresarial
femenino;servicio;peluqueria;trinidad;2;15;14/06/2018;4000000.0;microempresarial
femenino;servicio;fabrica de;buenos aires;3;9;09/02/2017;7000000.0;microempresarial
masculino;comercio;almacen de ropa en;buenos aires;2;9;03/10/2018;2000000.0;microempresarial
masculino;servicio;barberia;santo domingo savio ;1;1;08/04/2019;8200000.0;microempresarial
masculino;servicio;mantenimiento en;miranda;2;4;26/09/2017;7000000.0;microempresarial
femenino;comercio;productos de belleza;la sierra;1;8;21/01/2019;1500000.0;microempresarial
masculino;comercio;tienda;belen;3;16;12/06/2017;5200000.0;microempresarial
masculino;servicio;distribuidora de;juan xxiii la quiebra;1;13;02/05/2019;3000000.0;microempresarial
masculino;comercio;tienda;santo domingo savio ;1;1;11/10/2018;7000000.0;microempresarial
masculino;comercio;tienda;robledo;3;7;27/10/2016;4100000.0;microempresarial
masculino;servicio;restaurante;san diego;3;10;21/04/2016;6890000.0;microempresarial
femenino;industria;fabrica de;santo domingo savio ;2;1;27/08/2018;7000000.0;microempresarial
femenino;comercio;comidas rapidas;castilla;2;5;09/05/2017;3000000.0;microempresarial
masculino;servicio;carpinteria;centro admtivo;3;10;09/11/2017;7377000.0;microempresarial
masculino;industria;fabrica de;popular;2;1;01/02/2019;8281000.0;microempresarial
femenino;servicio;panaderia;cabecera san antonio ;2;80;26/08/2016;6000000.0;microempresarial
femenino;comercio;comidas rapidas;barrio caicedo;1;9;18/01/2019;4500000.0;microempresarial
femenino;servicio;gimnasio;robledo;2;7;21/09/2017;7370000.0;microempresarial
masculino;servicio;cafe e internet;la floresta;3;12;10/05/2016;233925.0;microempresarial
femenino;industria;fabrica de;aranjuez;1;4;15/11/2016;5000000.0;microempresarial
femenino;comercio;variedades;picacho;2;6;20/04/2017;5000000.0;microempresarial
femenino;comercio;tienda;olaya herrera;1;7;20/10/2016;6000000.0;microempresarial
femenino;industria;fabrica de;robledo;2;7;16/02/2017;5000000.0;microempresarial
masculino;industria;fabrica de repuestos;san javier no1;1;13;07/12/2017;7300000.0;microempresarial
masculino;servicio;fabrica de;pablo vi;2;2;06/10/2016;6800000.0;microempresarial
femenino;servicio;fabrica de juegos;belen;3;16;17/08/2017;7200000.0;microempresarial
masculino;comercio;cafeteria;robledo;2;7;14/10/2016;6890000.0;microempresarial
femenino;comercio;variedades;la milagrosa;2;9;02/11/2017;1550000.0;microempresarial
femenino;comercio;miscelanea;campo valdes no1;3;4;16/11/2017;7377000.0;microempresarial
masculino;comercio;taller de mecanica;santander;2;6;03/05/2018;3500000.0;microempresarial
masculino;servicio;variedades;belen;3;16;16/02/2018;7800000.0;microempresarial
masculino;industria;fabrica de;san benito;2;10;25/04/2018;3000000.0;microempresarial
masculino;servicio;variedades;villatina;2;8;19/03/2019;8000000.0;microempresarial
femenino;industria;fabrica de;san antonio;3;8;28/05/2019;8000000.0;microempresarial
femenino;comercio;tienda;castilla;2;5;28/05/2018;7800000.0;microempresarial
femenino;comercio;distribuidora de;la milagrosa;2;9;04/04/2018;7800000.0;microempresarial
femenino;comercio;variedades;campo valdes no2;2;3;16/11/2016;2000000.0;microempresarial
masculino;comercio;variedades;florencia;3;5;11/10/2018;1000000.0;microempresarial
masculino;servicio;reciclaje;santa cruz;2;2;02/02/2018;6000000.0;microempresarial
masculino;comercio;tienda;andalucia;2;2;25/04/2017;7370000.0;microempresarial
masculino;servicio;mantenimiento en;belen;3;16;16/06/2016;6890000.0;microempresarial
femenino;comercio;variedades;la avanzada;1;1;06/10/2016;6890000.0;microempresarial
masculino;comercio;variedades;enciso;1;8;19/04/2017;7000000.0;microempresarial
masculino;servicio;fabrica de calzado;manrique central no1;3;4;26/08/2016;5000000.0;microempresarial
femenino;comercio;cafe e internet;manrique oriental;2;3;05/09/2017;7370000.0;microempresarial
femenino;industria;fabrica de;robledo;2;7;23/01/2018;6000000.0;microempresarial
femenino;industria;fabrica de;la milagrosa;2;9;22/01/2019;7500000.0;microempresarial
masculino;comercio;variedades;campo valdes no1;3;4;17/01/2018;7000000.0;microempresarial
femenino;comercio;miscelanea;santo domingo savio ;2;1;22/06/2018;17000000.0;microempresarial
femenino;servicio;peluqueria;santander;2;6;27/07/2017;7000000.0;microempresarial
femenino;comercio;variedades;pedregal;3;6;30/01/2017;2000000.0;microempresarial
masculino;comercio;cafeteria;andalucia;2;2;09/03/2018;3500000.0;microempresarial
femenino;industria;fabrica de calzado;andalucia;2;2;28/06/2017;7300000.0;microempresarial
masculino;comercio;cerrajeria;andalucia;2;2;06/06/2017;7377000.0;microempresarial
femenino;agropecuaria;criadero de animales;cabecera san antonio ;2;80;03/10/2018;5000000.0;agropecuaria
femenino;comercio;variedades;el salvador;3;9;24/07/2017;7370000.0;microempresarial
masculino;comercio;tienda;cabecera san cristobal;2;60;10/05/2016;1600000.0;microempresarial
femenino;comercio;panaderia;prado;3;10;29/10/2018;7800000.0;microempresarial
masculino;servicio;organización y;la milagrosa;3;9;09/05/2018;4500000.0;microempresarial
masculino;servicio;fabrica de ceramica;villatina;2;8;21/12/2016;6890000.0;microempresarial
masculino;comercio;tienda;toscana;2;5;22/09/2017;7000000.0;microempresarial
femenino;comercio;distribuidora de;doce de octubre no1;2;6;19/04/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;belen;2;16;25/08/2016;6890000.0;microempresarial
femenino;comercio;variedades;belen;3;16;13/02/2018;7800000.0;microempresarial
femenino;comercio;restaurante;san javier no1;1;13;26/10/2018;7800000.0;microempresarial
femenino;comercio;papeleria;boyaca;3;5;18/11/2016;6890000.0;microempresarial
femenino;servicio;almacen de ropa en;kennedy;2;7;29/01/2019;2250000.0;microempresarial
femenino;comercio;legumbreria;popular;2;1;19/04/2017;7377000.0;microempresarial
masculino;industria;fabrica de calzado;campo valdes no1;2;4;28/08/2017;7300000.0;microempresarial
femenino;comercio;tienda;san javier no1;1;13;19/11/2016;4000000.0;microempresarial
femenino;industria;fabrica de;aranjuez;2;4;17/05/2016;6000000.0;microempresarial
femenino;industria;fabrica de;popular;1;1;23/05/2018;3400000.0;microempresarial
femenino;comercio;carpinteria;robledo;1;7;20/10/2017;7300000.0;microempresarial
femenino;comercio;variedades;santo domingo savio ;1;1;09/02/2018;6000000.0;microempresarial
femenino;comercio;variedades;buenos aires;3;9;30/04/2018;7500000.0;microempresarial
masculino;servicio;barberia;manrique central no1;2;4;06/02/2018;7800000.0;microempresarial
femenino;industria;fabrica de;aranjuez;1;4;19/09/2016;6890000.0;microempresarial
femenino;comercio;variedades;granizal;2;1;28/10/2016;4000000.0;microempresarial
femenino;comercio;variedades;robledo;2;7;24/10/2018;7800000.0;microempresarial
femenino;industria;fabrica de;villa hermosa;2;8;08/06/2018;7812000.0;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;13/09/2017;7000000.0;microempresarial
femenino;comercio;variedades;calasanz;2;12;13/04/2018;4000000.0;microempresarial
femenino;comercio;tienda;manrique central no1;2;4;08/08/2017;5000000.0;microempresarial
femenino;comercio;comidas rapidas;buenos aires;2;9;18/09/2017;7377000.0;microempresarial
femenino;comercio;almacen de ropa en;el compromiso;1;1;03/08/2016;6000000.0;microempresarial
femenino;servicio;peluqueria;robledo;3;7;09/11/2018;3000000.0;microempresarial
femenino;comercio;cafe e internet;cabecera san cristobal;2;60;24/01/2018;5000000.0;microempresarial
femenino;comercio;almacen de ropa en;doce de octubre no1;2;6;14/09/2018;4500000.0;microempresarial
masculino;agropecuaria;criadero de animales;florencia;2;5;19/04/2018;3000000.0;microempresarial
femenino;comercio;variedades;santo domingo savio ;1;1;08/03/2018;7800000.0;microempresarial
femenino;servicio;peluqueria;doce de octubre no1;1;6;11/10/2018;6000000.0;microempresarial
femenino;industria;fabrica de;campo valdes no1;3;4;27/10/2017;6000000.0;microempresarial
femenino;servicio;taller de mecanica;robledo;1;7;20/09/2016;5000000.0;microempresarial
femenino;industria;fabrica de;buenos aires;2;9;22/02/2018;4000000.0;microempresarial
masculino;comercio;licorera;barrio caicedo;2;9;24/10/2018;7800000.0;microempresarial
femenino;industria;fabrica de;andalucia;2;2;31/05/2018;7812000.0;microempresarial
masculino;industria;fabrica de;campo valdes no1;3;4;31/05/2019;7500000.0;microempresarial
masculino;comercio;variedades;san pablo;2;1;25/10/2016;3000000.0;microempresarial
femenino;servicio;comidas rapidas;robledo;2;7;23/11/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;cabecera san cristobal;1;60;17/10/2018;2000000.0;microempresarial
femenino;comercio;bares;manrique central no1;1;4;29/03/2017;7000000.0;microempresarial
masculino;comercio;variedades;belen;3;16;24/02/2017;7377000.0;microempresarial
masculino;comercio;restaurante;castilla;3;5;14/02/2018;7000000.0;microempresarial
masculino;servicio;comidas rapidas;guayabal;3;15;08/07/2016;6890000.0;microempresarial
femenino;servicio;restaurante;robledo;2;7;17/07/2018;7800000.0;microempresarial
femenino;comercio;variedades;la floresta;1;12;15/11/2018;7000000.0;microempresarial
femenino;industria;fabrica de;manrique central no1;3;4;07/02/2019;2000000.0;microempresarial
femenino;comercio;variedades;manrique central no1;2;4;18/05/2018;6000000.0;microempresarial
femenino;comercio;tienda;enciso;2;8;12/09/2016;6890000.0;microempresarial
masculino;comercio;variedades;castilla;3;5;15/03/2019;8000000.0;microempresarial
femenino;industria;fabrica de;villa niza;2;2;31/05/2017;7370000.0;microempresarial
masculino;servicio;barberia;castilla;2;5;07/05/2018;7800000.0;microempresarial
femenino;comercio;comidas rapidas;castilla;1;5;21/06/2018;7000000.0;microempresarial
femenino;servicio;peluqueria;santa cruz;2;2;06/06/2017;7377000.0;microempresarial
femenino;comercio;tienda;santo domingo savio ;1;1;15/01/2019;8000000.0;microempresarial
femenino;comercio;taller de electronica;trinidad;2;15;06/07/2017;7377000.0;microempresarial
femenino;comercio;tienda;la america;3;12;23/01/2018;7500000.0;microempresarial
femenino;industria;fabrica de;20 de julio;1;13;24/06/2016;6000000.0;microempresarial
femenino;comercio;restaurante;popular;2;1;01/05/2018;4000000.0;microempresarial
femenino;comercio;comidas rapidas;manrique central no1;2;4;11/05/2018;2500000.0;microempresarial
femenino;comercio;peluqueria;san pablo;1;1;14/03/2018;3000000.0;microempresarial
femenino;servicio;fumigacion;robledo;2;7;16/02/2018;4000000.0;microempresarial
femenino;comercio;miscelanea;20 de julio;1;13;27/07/2016;2000000.0;microempresarial
masculino;industria;fabrica de;cabecera san antonio ;2;80;26/07/2017;7377000.0;microempresarial
masculino;servicio;variedades;manrique oriental;2;3;22/11/2016;6000000.0;microempresarial
masculino;comercio;barberia;cabecera san cristobal;2;60;09/03/2017;7200000.0;microempresarial
femenino;servicio;variedades;la francia;2;2;26/10/2017;7300000.0;microempresarial
masculino;industria;fabrica de;el diamante;2;7;25/04/2019;8000000.0;microempresarial
femenino;comercio;venta de calzado;granizal;2;1;26/10/2017;1500000.0;microempresarial
femenino;servicio;organización y;san javier no1;1;13;18/04/2018;7000000.0;microempresarial
femenino;comercio;variedades;cabecera san cristobal;3;60;16/04/2018;2000000.0;microempresarial
masculino;comercio;comidas rapidas;campo amor;3;15;26/07/2017;7370000.0;microempresarial
masculino;industria;fabrica de calzado;belencito;2;13;19/10/2016;6890000.0;microempresarial
femenino;comercio;almacen de ropa en;bombona no1;3;10;10/11/2017;4400000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7;04/08/2017;3000000.0;microempresarial
femenino;comercio;variedades;campo valdes no1;3;4;25/04/2018;6500000.0;microempresarial
femenino;comercio;variedades;trinidad;3;15;14/03/2017;6000000.0;microempresarial
femenino;comercio;variedades;popular;2;1;23/05/2017;7377000.0;microempresarial
femenino;comercio;almacen de ropa en;castilla;3;5;04/12/2018;3000000.0;microempresarial
femenino;servicio;recreativo educativo;santa cruz;2;2;19/04/2016;6890000.0;microempresarial
masculino;comercio;almacen de ropa en;cabecera san cristobal;2;60;24/04/2018;3000000.0;microempresarial
femenino;industria;fabrica de;enciso;2;8;19/07/2017;7370000.0;microempresarial
femenino;comercio;almacen de ropa en;enciso;2;8;03/08/2018;7800000.0;microempresarial
femenino;comercio;variedades;barrio caicedo;2;9;16/05/2017;2000000.0;microempresarial
femenino;comercio;variedades;san javier no1;2;13;27/10/2017;5000000.0;microempresarial
femenino;comercio;tienda;san javier no1;2;13;08/06/2016;6890000.0;microempresarial
femenino;comercio;variedades;llanaditas;1;8;07/04/2016;6890000.0;microempresarial
femenino;industria;fabrica de;belencito;2;13;22/07/2016;6000000.0;microempresarial
femenino;comercio;miscelanea;bombona no1;3;10;22/02/2017;2000000.0;microempresarial
femenino;comercio;tienda;santo domingo savio ;1;1;08/09/2017;7370000.0;microempresarial
femenino;comercio;variedades;boston;3;10;20/02/2017;1000000.0;microempresarial
femenino;comercio;cafeteria;belen;2;16;07/05/2019;7600000.0;microempresarial
masculino;servicio;barberia;granizal;2;1;11/05/2018;7800000.0;microempresarial
femenino;industria;variedades;florencia;3;5;19/03/2019;8200000.0;microempresarial
femenino;comercio;variedades;manrique central no2;2;3;15/07/2016;2000000.0;microempresarial
femenino;industria;fabrica de;aranjuez;1;4;23/01/2017;7000000.0;microempresarial
masculino;comercio;tienda de helados;buenos aires;3;9;19/04/2016;5000000.0;microempresarial
femenino;comercio;fabrica de;robledo;1;7;25/01/2018;7800000.0;microempresarial
femenino;industria;fabrica de;juan pablo ii;1;9;19/01/2017;7377000.0;microempresarial
femenino;servicio;peluqueria;la milagrosa;3;9;01/02/2018;7000000.0;microempresarial
femenino;comercio;variedades;popular;2;6;25/10/2017;7300000.0;microempresarial
masculino;servicio;tienda;toscana;3;5;21/02/2017;7377000.0;microempresarial
masculino;servicio;peluqueria;belen;2;16;22/02/2018;4000000.0;microempresarial
femenino;industria;deposito de;la esperanza;1;6;08/04/2019;8200000.0;microempresarial
masculino;servicio;mantenimiento en;san javier no1;1;13;23/05/2018;7800000.0;microempresarial
masculino;comercio;variedades;granizal;1;1;27/06/2018;800000.0;microempresarial
femenino;comercio;tienda;manrique central no1;2;4;12/06/2017;5000000.0;microempresarial
femenino;comercio;variedades;manrique central no1;2;4;13/07/2016;1000000.0;microempresarial
masculino;industria;fabrica de alimentos;castilla;3;5;11/02/2019;5400000.0;microempresarial
femenino;industria;carpinteria;santo domingo savio ;2;1;22/02/2017;4000000.0;microempresarial
masculino;comercio;publicidad y;villa hermosa;3;6;24/04/2019;8250000.0;microempresarial
masculino;servicio;recreativo educativo;villa niza;2;2;06/10/2017;7370000.0;microempresarial
femenino;comercio;comidas rapidas;san diego;2;10;10/11/2016;6000000.0;microempresarial
femenino;comercio;tienda;robledo;1;7;18/11/2016;6500000.0;microempresarial
femenino;comercio;cafe e internet;santa cruz;2;2;04/04/2018;7800000.0;microempresarial
masculino;comercio;variedades;doce de octubre no1;2;6;30/07/2018;5000000.0;microempresarial
masculino;servicio;criadero de animales;belen;2;16;08/09/2017;14000000.0;agropecuaria
femenino;comercio;almacen de ropa en;robledo;3;7;06/02/2017;4400000.0;credioportuno
masculino;comercio;miscelanea;moravia;2;4;14/10/2016;4000000.0;microempresarial
masculino;industria;fabrica de calzado;castilla;2;5;08/05/2018;2000000.0;microempresarial
femenino;agropecuaria;criadero de animales;enciso;1;8;14/06/2018;7000000.0;microempresarial
masculino;comercio;panaderia;santa cruz;2;2;17/03/2017;73000000.0;microempresarial
femenino;servicio;cafe e internet;la pradera;2;13;29/06/2016;6000000.0;microempresarial
femenino;industria;fabrica de;aranjuez;2;13;01/12/2016;3000000.0;microempresarial
femenino;servicio;almacen de ropa en;cabecera san antonio ;1;80;10/05/2017;2000000.0;microempresarial
femenino;industria;fabrica de;villa hermosa;3;8;11/05/2016;6890000.0;microempresarial
masculino;servicio;montallantas;kennedy;2;6;26/10/2017;5000000.0;microempresarial
masculino;comercio;fabrica de helados;castilla;2;5;23/01/2017;7377000.0;microempresarial
masculino;industria;ebanistaria;manrique central no2;2;3;07/02/2018;7812000.0;microempresarial
masculino;comercio;comidas rapidas;manrique central no2;2;3;11/04/2016;5000000.0;microempresarial
masculino;comercio;peluqueria;cabecera san antonio ;3;80;09/05/2018;5000000.0;microempresarial
femenino;industria;fabrica de;manrique central no2;3;3;28/03/2016;6890000.0;microempresarial
masculino;industria;fabrica de alimentos;cabecera san antonio ;2;80;22/04/2016;6400000.0;microempresarial
femenino;comercio;variedades;villa del socorro;2;2;28/05/2018;7800000.0;microempresarial
femenino;comercio;tienda;llanaditas;1;8;05/10/2016;6000000.0;microempresarial
femenino;comercio;fabrica de helados;robledo;2;7;02/11/2016;6890000.0;microempresarial
masculino;servicio;carpinteria;san javier no1;2;13;15/08/2017;7377000.0;microempresarial
masculino;industria;fabrica de;san javier no1;2;13;31/10/2018;7000000.0;microempresarial
masculino;comercio;comidas rapidas;campo valdes no2;3;3;31/01/2019;4500000.0;microempresarial
masculino;comercio;tienda;belencito;1;13;19/07/2018;7800000.0;microempresarial
masculino;industria;fabrica de;san javier no1;2;13;04/05/2018;5000000.0;microempresarial
masculino;comercio;comidas rapidas;la esperanza;1;6;09/08/2018;7800000.0;microempresarial
femenino;industria;fabrica de;aranjuez;3;4;15/02/2017;3000000.0;microempresarial
femenino;servicio;peluqueria;castilla;3;5;03/05/2017;7200000.0;microempresarial
femenino;servicio;tienda;llanaditas;1;8;15/06/2016;3000000.0;microempresarial
masculino;servicio;fotografia;robledo;3;7;07/07/2016;1500000.0;microempresarial
femenino;industria;fabrica de;popular;2;1;14/09/2018;6000000.0;microempresarial
femenino;comercio;tienda;cabecera san cristobal;1;6;20/05/2016;3000000.0;microempresarial
femenino;comercio;fabrica de;robledo;1;7;16/07/2018;2000000.0;microempresarial
femenino;comercio;distribuidora de;blanquizal;1;13;07/09/2017;7300000.0;microempresarial
masculino;comercio;comidas rapidas;cabecera san cristobal;2;60;03/02/2017;1000000.0;microempresarial
masculino;industria;fabrica de;florencia;3;5;11/05/2017;4000000.0;microempresarial
femenino;servicio;fabrica de;manrique oriental;1;3;27/10/2016;6000000.0;microempresarial
femenino;servicio;cafe e internet;santo domingo savio ;2;1;06/09/2017;7300000.0;microempresarial
femenino;comercio;comidas rapidas;popular;2;1;13/02/2018;7800000.0;microempresarial
masculino;comercio;comidas rapidas;robledo;3;7;22/03/2018;7800000.0;microempresarial
masculino;comercio;papeleria;boston;2;10;18/08/2017;3000000.0;microempresarial
femenino;comercio;tienda;barrio caicedo;2;9;26/10/2018;2500000.0;microempresarial
femenino;industria;fabrica de;20 de julio;2;13;14/09/2017;3000000.0;microempresarial
masculino;comercio;restaurante;robledo;3;7;29/08/2018;7000000.0;microempresarial
masculino;comercio;productos de belleza;santa lucia;3;12;08/11/2017;7200000.0;microempresarial
masculino;comercio;tienda;andalucia;2;5;09/04/2019;3000000.0;microempresarial
femenino;servicio;restaurante;san javier no1;2;13;18/08/2017;6000000.0;microempresarial
masculino;comercio;peluqueria;manrique central no1;3;4;11/10/2018;5000000.0;microempresarial
femenino;comercio;variedades;castilla;3;5;08/09/2016;6890000.0;microempresarial
masculino;servicio;fabrica de;villa hermosa;3;8;21/04/2017;7377000.0;microempresarial
masculino;industria;fabrica de;la pradera;3;13;07/12/2016;5000000.0;microempresarial
masculino;industria;fabrica de;enciso;3;8;28/10/2016;6894000.0;microempresarial
femenino;agropecuaria;criadero de animales;guayabal;1;15;31/05/2016;4000000.0;microempresarial
masculino;comercio;almacen de ropa en;santa cruz;2;2;14/03/2017;2500000.0;microempresarial
masculino;agropecuaria;sembrados;suburbano santa elena ;2;90;14/02/2019;17000000.0;agropecuaria
femenino;industria;panaderia;castilla;3;5;11/10/2018;7000000.0;microempresarial
masculino;agropecuaria;criadero de animales;altavista;2;16;26/09/2016;3000000.0;microempresarial
masculino;comercio;almacen de ropa en;belen;3;16;24/10/2018;7800000.0;microempresarial
femenino;industria;fabrica de;castilla;3;5;27/03/2017;6000000.0;microempresarial
masculino;comercio;ferreteria;manrique central no1;2;4;23/03/2017;7300000.0;microempresarial
masculino;comercio;restaurante;campo valdes no1;2;4;12/06/2018;7800000.0;microempresarial
femenino;comercio;panaderia;trinidad;3;15;22/03/2018;5000000.0;microempresarial
femenino;comercio;miscelanea;pablo vi;2;2;19/09/2017;5000000.0;microempresarial
femenino;comercio;tienda;robledo;1;7;28/03/2016;3000000.0;microempresarial
femenino;servicio;panaderia;robledo;2;7;28/12/2016;6890000.0;microempresarial
femenino;industria;fabrica de;pedregal;3;6;01/11/2016;6890000.0;microempresarial
masculino;servicio;mantenimiento en;manrique central no2;3;3;18/03/2016;6800000.0;microempresarial
femenino;industria;fabrica de;aranjuez;2;4;28/02/2019;8000000.0;microempresarial
masculino;industria;ferreteria;manrique central no1;3;4;16/09/2016;6890000.0;microempresarial
masculino;servicio;mantenimiento en;miranda;2;4;25/09/2017;23000000.0;microempresarial
femenino;comercio;comidas rapidas;barrio colon;3;10;03/05/2018;4000000.0;microempresarial
femenino;servicio;fabrica de;robledo;2;7;13/03/2019;5000000.0;microempresarial
femenino;comercio;legumbreria;enciso;1;8;10/12/2018;2000000.0;microempresarial
masculino;comercio;variedades;castilla;3;5;09/11/2016;6890000.0;microempresarial
femenino;industria;fabrica de calzado;buenos aires;3;9;27/02/2017;3000000.0;microempresarial
femenino;comercio;almacen de ropa en;la pradera;3;13;13/03/2018;7800000.0;microempresarial
masculino;comercio;tienda;manrique central no1;1;4;27/06/2017;5000000.0;microempresarial
masculino;industria;fabrica de;manrique central no1;3;4;27/04/2018;5000000.0;microempresarial
femenino;comercio;tienda de helados;guayabal;3;15;02/10/2017;7000000.0;microempresarial
masculino;comercio;tienda;enciso;1;8;29/10/2018;7500000.0;microempresarial
femenino;comercio;restaurante;picachito;2;6;29/03/2019;8200000.0;microempresarial
femenino;industria;fabrica de;guayabal;3;15;04/04/2018;6000000.0;microempresarial
femenino;comercio;almacen de ropa en;robledo;1;7;27/11/2017;5000000.0;microempresarial
masculino;comercio;comidas rapidas;belen;3;16;18/04/2018;7800000.0;microempresarial
masculino;comercio;venta de calzado;la loma;2;60;11/06/2019;8200000.0;microempresarial
femenino;comercio;tienda;enciso;2;8;04/12/2017;4400000.0;microempresarial
masculino;comercio;comidas rapidas;santa cruz;2;2;17/05/2018;7800000.0;microempresarial
masculino;comercio;variedades;manrique central no1;3;4;04/05/2018;3500000.0;microempresarial
femenino;comercio;variedades;robledo;3;7;27/04/2016;6000000.0;microempresarial
femenino;industria;fabrica de;san javier no1;3;13;20/05/2019;3750000.0;microempresarial
masculino;comercio;variedades;robledo;3;7;19/11/2018;4500000.0;microempresarial
masculino;industria;fabrica de;florencia;3;5;31/01/2017;7300000.0;microempresarial
femenino;industria;fabrica de;villatina;1;8;26/04/2016;6890000.0;microempresarial
masculino;comercio;tienda;moravia;2;4;15/03/2016;6890000.0;microempresarial
femenino;comercio;tienda;aranjuez;3;4;26/10/2018;2500000.0;microempresarial
femenino;industria;fabrica de;moravia;2;4;19/07/2017;7000000.0;microempresarial
femenino;industria;fabrica de;castilla;2;5;29/09/2017;2000000.0;microempresarial
femenino;servicio;peluqueria;cabecera san antonio ;2;80;06/03/2017;7370000.0;microempresarial
femenino;industria;fabrica de;villa hermosa;2;8;13/04/2018;7800000.0;microempresarial
masculino;comercio;taller de electronica;belen;3;16;08/05/2017;7370000.0;microempresarial
femenino;comercio;tienda;13 de noviembre;1;8;27/03/2017;3000000.0;microempresarial
femenino;comercio;tienda;doce de octubre no1;1;6;27/03/2017;7300000.0;microempresarial
